MA2,DH5,DL18,FH3,RA1,RA3,CR1,TA2
1.61,3.714816993,0,20.80555556,0.920717042,-0.342501495,0.36252589,0.265807571
2.01,5.136173203,0,27.44444444,2.095453956,-0.759449994,0.509005328,0.230643169
1.9,3.917143791,0,17.41666667,0.959298246,-0.344107551,0.354977749,0.218582821
1.66,3.644137255,0,20.58333333,1.003687739,-0.37225604,0.342517399,0.248502181
2.95,5.84872549,0,15,1.48903088,-0.512342831,0.548042787,0.260085695
0.25,2.713696078,4.75,87.86111111,1.089778457,-0.464253865,0.281862508,0.834728378
0.33,2.09374183,0,75.5,0.526116342,-0.249680817,0.194855612,0.768663038
0.6,1.661361905,0,34.25,0.186469226,-0.082244302,0.168831933,0.698251469
0.4,1.39169281,0,47.33333333,0.118321839,-0.066910543,0.132226609,0.553448393
1.39,3.957686275,0,41.11111111,1.040173047,-0.510034709,0.412037025,0.297491787
0.94,3.305150327,0,54.75,0.701840823,-0.32898972,0.311397182,0.455035396
0.38,4.261542484,0,111.4722222,0.225099819,-0.15092222,0.259272425,0.804109335
0.46,3.828683007,0,80.30555556,0.19714023,-0.143916765,0.191636,0.849024592
0.41,1.775591503,0,46.13888889,0.087991886,-0.054204606,0.160536816,0.775388012
0,0.194535948,233.3055556,109.3055556,0.253478774,-0.152764748,0.012930304,0.616064532
0.04,0.395169935,48,77.80555556,0.117017115,-0.067583167,0.039541134,0.314187032
0.04,0.200715686,4.361111111,71.61111111,0.074089733,-0.045039453,0.021546944,0.267700368
0.14,0.247035948,0,10.22222222,0.028046844,-0.021864932,0.032884133,0.377702833
0.3,4.344761438,0,70.36111111,0.278645251,-0.223455849,0.376290517,0.886543561
0.4,4.891277778,0,74,0.210827275,-0.155290966,0.292156587,0.84574318
0.03,0.435184127,33.66666667,73.66666667,0.212976773,-0.111465131,0.041152697,0.396625867
0.2,1.892555556,0,78.33333333,1.292811881,-0.493267342,0.16021574,0.725843975
0.08,0.503107843,0,63.36111111,0.046414329,-0.032588989,0.041872937,0.300799191
0.43,3.109735294,0,58.27777778,2.076340746,-0.861771173,0.277495532,0.715976802
0.03,0.202957516,0.083333333,29.86111111,0.279140127,-0.183554974,0.023418686,0.375478276
0.03,0.082215686,61.11111111,22.63888889,0.054652542,-0.033247423,0.009522516,0.394324379
0,0.509522876,246.8333333,97.63888889,1.205652725,-0.549861272,0.04605659,0.772602164
